Gender,Age,toxicity
other,23,0.0053229951299726
other,12,0.0004394208954181
other,19,0.0010189702734351
female,21,0.0005123384762555
other,52,0.00279655540362
male,44,0.0005388652207329
male,30,0.0024549798108637
other,22,0.0006123450584709
other,19,0.002195410663262
female,21,0.0005834386101923
other,24,0.0006466308259405
male,23,0.0105214677751064
other,12,0.0013356106355786
other,22,0.0004278041014913
female,23,0.0053990692831575
other,20,0.00041236623656
male,21,0.0008570326026529
male,44,0.0003906651400029
male,42,0.000690393440891
male,40,0.0008423059480264
male,33,0.0003994942817371
male,21,0.0007070316351018
other,12,0.0005318185430951
male,21,0.0036718549672514
male,18,0.0005529512418434
other,21,0.007321139331907
male,54,0.0004391135589685
other,32,0.0010045153321698
other,12,0.000884668668732
female,36,0.0011339545017108
other,25,0.0042005502618849
male,26,0.0004423546488396
other,22,0.0011119233677163
other,21,0.000526676827576
female,22,0.0013987835263833
male,23,0.0008654311532154
other,20,0.000946860469412
other,12,0.0004487936384975
male,44,0.0004086880071554
male,23,0.0004436468298081
female,23,0.0013663150602951
other,20,0.0026186523027718
female,20,0.0019956838805228
other,20,0.0040691173635423
other,21,0.0005536719108931
other,12,0.0009139428730122
male,69,0.0012619879562407
male,13,0.00217966735363
other,18,0.0058164624497294
other,23,0.0004591857141349
male,21,0.0003898847789969
other,22,0.0007451230776496
male,63,0.000823977519758
other,19,0.0007374662091024
male,13,0.0014596218243241
other,19,0.0040596169419586
male,23,0.001209296984598
other,12,0.0013117927592247
other,19,0.0005199963343329
male,45,0.0004842334019485
other,12,0.0097794653847813
other,32,0.000578184321057
other,37,0.000463378150016
male,63,0.0009215991594828
male,20,0.0233160946518182
other,19,0.0009432174265384
other,17,0.0025608099531382
female,22,0.0012740549864247
female,38,0.0006095134885981
male,46,0.0020681077148765
male,21,0.0006004702881909
male,36,0.0007983688847161
other,12,0.0268272086977958
other,12,0.0016619079979136
female,19,0.008381507359445
male,21,0.0005790661671198
male,26,0.0003875112452078
male,21,0.0014389490243047
other,18,0.0004777734575327
other,21,0.0007202354609034
other,19,0.0080966129899024
other,19,0.0051704430952668
