age_group,female,male,others
10-19,0.010565952537027117,0.004997595725730386,0.010274774095643053
20-29,0.01321289497567161,0.007883880583106047,0.009966495979824684
30-39,0.007195984876199162,0.004888814105273478,0.010091692531410476
40-49,0.010135867689275463,0.006300600024765998,0.001257247482190289
50-59,0.008532164490017558,0.014905147840328523,0.001941727899450444
60-69,0.003447430864302855,0.004796898824264124,
70-80,,0.022706862780614723,0.004673958560168649
